Trained On,Tested Against,Num Stpes,WALKING,U-STAIRS,D-STAIRS,SITTING,STANDING,LAYING
real,fake,1000,0.8077777777777778,0.8305555555555556,0.7688888888888888,0.8261111111111111,0.8277777777777777,0.5255555555555556
fake,real,1000,0.17966101694915254,0.1401129943502825,0.8847457627118644,0.8011299435028248,0.8192090395480226,0.20451977401129945
fake,fake,1000,0.7622222222222222,0.9155555555555556,0.8205555555555556,0.7066666666666667,0.72,0.7722222222222223
real,real,1000,0.8418079096045198,0.8847457627118644,0.8180790960451978,0.847457627118644,0.9028248587570622,1.0
real,fake,1000,0.7833333333333333,0.7338888888888889,0.7277777777777777,0.5866666666666667,0.9,0.8744444444444445
fake,real,1000,0.8011299435028248,0.8542372881355932,0.6666666666666666,0.864406779661017,0.8587570621468926,0.9977401129943503
fake,fake,1000,0.8361111111111111,0.8605555555555555,0.9783333333333334,0.9038888888888889,0.9883333333333333,0.9977777777777778
real,real,1000,0.9322033898305084,0.9096045197740112,0.8632768361581921,0.8508474576271187,0.8892655367231639,1.0
real,fake,1000,0.7688888888888888,0.7838888888888889,0.7433333333333333,0.6605555555555556,0.8205555555555556,0.7494444444444445
fake,real,1000,0.8463276836158192,0.8361581920903954,0.3446327683615819,0.831638418079096,0.8067796610169492,0.7412429378531074
fake,fake,1000,0.7911111111111111,0.9005555555555556,0.8627777777777778,0.8827777777777778,0.8627777777777778,0.9283333333333333
real,real,1000,0.880225988700565,0.8937853107344633,0.8384180790960452,0.8542372881355932,0.8768361581920904,1.0
real,fake,1000,0.765,0.8322222222222222,0.8422222222222222,0.7905555555555556,0.8127777777777778,0.5288888888888889
fake,real,1000,0.696045197740113,0.6689265536723163,0.8531073446327684,0.8305084745762712,0.8225988700564971,0.9412429378531073
fake,fake,1000,0.935,0.9333333333333333,0.9344444444444444,0.9166666666666666,0.9355555555555556,0.9738888888888889
real,real,1000,0.8587570621468926,0.9050847457627119,0.8135593220338984,0.831638418079096,0.8949152542372881,1.0
real,fake,1000,0.7416666666666667,0.8411111111111111,0.8261111111111111,0.7672222222222222,0.8022222222222222,0.6711111111111111
fake,real,1000,0.6915254237288135,0.6937853107344633,0.8655367231638418,0.8610169491525423,0.8440677966101695,0.6677966101694915
fake,fake,1000,0.9472222222222222,0.9227777777777778,0.9283333333333333,0.9383333333333334,0.9522222222222222,0.9855555555555555
real,real,1000,0.8700564971751412,0.8824858757062147,0.823728813559322,0.8361581920903954,0.8790960451977401,1.0
real,fake,1000,0.7644444444444445,0.8555555555555555,0.8338888888888889,0.7466666666666667,0.7983333333333333,0.7016666666666667
fake,real,1000,0.6994350282485876,0.6949152542372882,0.8610169491525423,0.8293785310734463,0.8158192090395481,0.6485875706214689
fake,fake,1000,0.935,0.9272222222222222,0.9283333333333333,0.9422222222222222,0.9416666666666667,0.985
real,real,1000,0.8531073446327684,0.8711864406779661,0.8293785310734463,0.8395480225988701,0.8587570621468926,1.0
real,fake,1000,0.7755555555555556,0.76,0.88,0.68,0.8688888888888889,0.8755555555555555
fake,real,1000,0.8090395480225989,0.8994350282485876,0.6858757062146893,0.8384180790960452,0.8124293785310734,0.9988700564971752
fake,fake,1000,0.8377777777777777,0.8416666666666667,0.9772222222222222,0.9216666666666666,0.9833333333333333,0.995
real,real,1000,0.8621468926553673,0.9152542372881356,0.8135593220338984,0.8248587570621468,0.903954802259887,1.0
real,fake,1000,0.7605555555555555,0.8444444444444444,0.8383333333333334,0.8005555555555556,0.8144444444444444,0.5911111111111111
fake,real,1000,0.7209039548022599,0.6858757062146893,0.8666666666666667,0.784180790960452,0.8305084745762712,0.7401129943502824
fake,fake,1000,0.9438888888888889,0.9361111111111111,0.93,0.9377777777777778,0.9244444444444444,0.9827777777777778
real,real,1000,0.8666666666666667,0.8519774011299435,0.807909604519774,0.8305084745762712,0.8813559322033898,1.0
real,fake,1000,0.7738888888888888,0.7716666666666666,0.7644444444444445,0.6861111111111111,0.7988888888888889,0.8833333333333333
fake,real,1000,0.7604519774011299,0.8429378531073446,0.7152542372881356,0.8327683615819209,0.8361581920903954,1.0
fake,fake,1000,0.8316666666666667,0.8483333333333334,0.9711111111111111,0.9316666666666666,0.9883333333333333,0.9972222222222222
real,real,1000,0.8395480225988701,0.8598870056497175,0.7954802259887006,0.8406779661016949,0.8892655367231639,1.0
real,fake,1000,0.7877777777777778,0.7744444444444445,0.8788888888888889,0.6016666666666667,0.88,0.6311111111111111
fake,real,1000,0.7310734463276836,0.8576271186440678,0.656497175141243,0.8779661016949153,0.8497175141242937,0.9988700564971752
fake,fake,1000,0.8322222222222222,0.8461111111111111,0.9711111111111111,0.9083333333333333,0.9866666666666667,0.9938888888888889
real,real,1000,0.9016949152542373,0.8858757062146893,0.8271186440677966,0.8271186440677966,0.8971751412429378,1.0
real,fake,1000,0.7605555555555555,0.8466666666666667,0.875,0.8061111111111111,0.8005555555555556,0.5894444444444444
fake,real,1000,0.7016949152542373,0.688135593220339,0.8632768361581921,0.7988700564971751,0.8327683615819209,0.6757062146892655
fake,fake,1000,0.9477777777777778,0.9355555555555556,0.9377777777777778,0.9405555555555556,0.9394444444444444,0.98
real,real,1000,0.8892655367231639,0.9107344632768362,0.8384180790960452,0.8180790960451978,0.8677966101694915,1.0
real,fake,1000,0.6616666666666666,0.805,0.8477777777777777,0.7688888888888888,0.8122222222222222,0.6561111111111111
fake,real,1000,0.7322033898305085,0.6949152542372882,0.8677966101694915,0.8225988700564971,0.8090395480225989,0.8632768361581921
fake,fake,1000,0.9422222222222222,0.9344444444444444,0.9283333333333333,0.9355555555555556,0.9377777777777778,0.9827777777777778
real,real,1000,0.8598870056497175,0.8655367231638418,0.8248587570621468,0.8621468926553673,0.8971751412429378,1.0
real,fake,1000,0.8172222222222222,0.815,0.8111111111111111,0.8322222222222222,0.8611111111111112,0.9894444444444445
fake,real,1000,0.7819209039548023,0.8338983050847457,0.8101694915254237,0.8463276836158192,0.8824858757062147,1.0
fake,fake,1000,0.7938888888888889,0.8555555555555555,0.835,0.8427777777777777,0.87,1.0
real,real,1000,0.9819209039548022,0.9683615819209039,0.9649717514124294,0.8395480225988701,0.8971751412429378,1.0
real,fake,1000,0.8227777777777778,0.81,0.7161111111111111,0.8366666666666667,0.8366666666666667,0.5455555555555556
fake,real,1000,0.18870056497175142,0.15932203389830507,0.8711864406779661,0.831638418079096,0.8067796610169492,0.1615819209039548
fake,fake,1000,0.7911111111111111,0.7694444444444445,0.7416666666666667,0.6788888888888889,0.6738888888888889,0.7933333333333333
real,real,1000,0.8621468926553673,0.8926553672316384,0.8192090395480226,0.8497175141242937,0.864406779661017,1.0
real,fake,1000,0.8222222222222222,0.8322222222222222,0.8155555555555556,0.8272222222222222,0.8822222222222222,0.9866666666666667
fake,real,1000,0.8067796610169492,0.8327683615819209,0.8192090395480226,0.8361581920903954,0.8372881355932204,1.0
fake,fake,1000,0.8177777777777778,0.8366666666666667,0.84,0.8361111111111111,0.8688888888888889,1.0
real,real,1000,0.8790960451977401,0.8915254237288136,0.8022598870056498,0.8418079096045198,0.8915254237288136,1.0
real,fake,1000,0.8072222222222222,0.8411111111111111,0.7961111111111111,0.8377777777777777,0.8483333333333334,0.9983333333333333
fake,real,1000,0.8022598870056498,0.847457627118644,0.8248587570621468,0.8305084745762712,0.8711864406779661,1.0
fake,fake,1000,0.7977777777777778,0.8422222222222222,0.8361111111111111,0.8455555555555555,0.855,1.0
real,real,1000,0.9107344632768362,0.927683615819209,0.919774011299435,0.864406779661017,0.8847457627118644,1.0
real,fake,1000,0.9072222222222223,0.7877777777777778,0.9038888888888889,0.8277777777777777,0.8672222222222222,0.9594444444444444
fake,real,1000,0.7548022598870057,0.8327683615819209,0.7864406779661017,0.8259887005649718,0.8531073446327684,1.0
fake,fake,1000,0.9405555555555556,1.0,0.9077777777777778,0.845,0.8877777777777778,1.0
real,real,1000,0.9254237288135593,0.9378531073446328,0.9254237288135593,0.8271186440677966,0.880225988700565,1.0
real,fake,1000,0.8122222222222222,0.7955555555555556,0.8005555555555556,0.8111111111111111,0.8127777777777778,0.7122222222222222
fake,real,1000,0.35480225988700564,0.6757062146892655,0.33785310734463275,0.7638418079096045,0.8271186440677966,1.0
fake,fake,1000,0.5427777777777778,0.48944444444444446,0.4677777777777778,0.47055555555555556,0.5227777777777778,0.9383333333333334
real,real,1000,0.7401129943502824,0.7796610169491526,0.7661016949152543,0.8056497175141243,0.8418079096045198,1.0
real,fake,1000,0.7144444444444444,0.7844444444444445,0.7527777777777778,0.8511111111111112,0.7888888888888889,0.8261111111111111
fake,real,1000,0.7084745762711865,0.711864406779661,0.7016949152542373,0.8045197740112995,0.7988700564971751,0.7322033898305085
fake,fake,1000,0.6761111111111111,0.7033333333333334,0.6877777777777778,0.8172222222222222,0.8005555555555556,0.875
real,real,1000,0.7367231638418079,0.7728813559322034,0.7615819209039548,0.8248587570621468,0.8225988700564971,1.0
real,fake,1000,0.7227777777777777,0.77,0.7677777777777778,0.8016666666666666,0.7861111111111111,0.8105555555555556
fake,real,1000,0.7152542372881356,0.7175141242937854,0.7242937853107345,0.8146892655367232,0.807909604519774,0.9943502824858758
fake,fake,1000,0.6838888888888889,0.7205555555555555,0.7411111111111112,0.7655555555555555,0.7433333333333333,0.8577777777777778
real,real,1000,0.9186440677966101,0.9401129943502825,0.9062146892655367,0.8497175141242937,0.9073446327683616,1.0
real,fake,1000,0.7772222222222223,0.7755555555555556,0.7283333333333334,0.73,0.835,0.5838888888888889
fake,real,1000,0.3581920903954802,0.3728813559322034,0.8677966101694915,0.8542372881355932,0.8101694915254237,1.0
fake,fake,1000,0.8088888888888889,0.7161111111111111,0.8566666666666667,0.9138888888888889,0.8838888888888888,0.955
real,real,1000,0.9412429378531073,0.9401129943502825,0.9152542372881356,0.8531073446327684,0.8519774011299435,1.0
real,fake,1000,0.8883333333333333,0.8966666666666666,0.8844444444444445,0.8355555555555556,0.8733333333333333,0.9944444444444445
fake,real,1000,0.8372881355932204,0.9129943502824859,0.9062146892655367,0.8271186440677966,0.8463276836158192,1.0
